,Gene,ENSEMBL_ID,Brummelkamp.hap1.GTS.ratio,Brummelkamp.hap1.GTS.threshold,Brummelkamp.kbm7.GTS.ratio,Brummelkamp.kbm7.GTS.threshold,Campbell2018.LAML.pvalues,Campbell2018.PANCANCER.pvalues,Campbell2018.Combined.pvalues,Chen2019.pos.score,Chen2019.pos.p.value,Chen2019.pos.p.value.threshold,Chen2019.pos.fdr,Chen2019.pos.rank,Weissman2014.CRISPRi.Growth.phenotype..mean.of.top.3.gammas.,Weissman2014.CRISPRa.Growth.phenotype..mean.of.top.3.gammas.,Weissman2014.CRISPRa.Growth.phenotype.threshold,Doench2018.Average.LFC,Doench2018.Average.nlog.p.values.,Doench2018.Average.nlog.p.values.threshold,Elledge2013.TUSON_p_value_TSG,Elledge2013.TUSON_p_value_TSG.threshold,Elledge2013.TUSON_q_value_TSG,Elledge2013.TSG_Probability_LASSO,Elledge2019.HMEC.Average.Log2FC.Drop,Elledge2019.HMEC.Combined.pvalue.drop,Elledge2019.HMEC.FDR.drop,Elledge2019.HMEC.Average.threshold,Elledge2019.HPNE.Average.Log2.Drop,Elledge2019.HPNE.Combined.pvalue.drop,Elledge2019.HPNE.FDR.drop,Elledge2019.HPNE.Average.threshold,Sabbatini2015.KBM7.CS,Sabbatini2015.KBM7.adjusted.p.value,Sabbatini2015.KBM7.threshold,Sabbatini2015.K562.CS,Sabbatini2015.K562.adjusted.p.value,Sabbatini2015.K562.threshold,Sabbatini2015.Jiyoye.CS,Sabbatini2015.Jiyoye.adjusted.p.value,Sabbatini2015.Jiyoye.threshold,Sabbatini2015.Raji.CS,Sabbatini2015.Raji.adjusted.p.value,Sabbatini2015.Raji.threshold,Sabbatini2017.EOL.1,Sabbatini2017.EOL.1.threshold,Sabbatini2017.HEL,Sabbatini2017.HEL.threshold,Sabbatini2017.MOLM.13,Sabbatini2017.MOLM.13.threshold,Sabbatini2017.MonoMac1,Sabbatini2017.MonoMac1.threshold,Sabbatini2017.MV411.threshold,Sabbatini2017.MV412,Sabbatini2017.NB4.rep1,Sabbatini2017.NB4.rep1.threshold,Sabbatini2017.NB4.rep2,Sabbatini2017.NB4.rep2.threshold,Sabbatini2017.OCI.AML2,Sabbatini2017.OCI.AML2.threshold,Sabbatini2017.OCI.AML3,Sabbatini2017.OCI.AML3.threshold,Sabbatini2017.OCI.AML5,Sabbatini2017.OCI.AML5.threshold,Sabbatini2017.P31.FUJ,Sabbatini2017.P31.FUJ.threshold,Sabbatini2017.PL.21,Sabbatini2017.PL.21.threshold,Sabbatini2017.SKM.1,Sabbatini2017.SKM.threshold,Sabbatini2017.TF.1,Sabbatini2017.TF.1.threshold,Sabbatini2017.THP.1,Sabbatini2017.THP.1.threshold,Wallace2016.DEseq2.Log2.Fold.Change,Wallace2016.DEseq2.P.Value,Wallace2016.threshold,Weissman2016a.Rep1_2.Mann.Whitney.p.value,Weissman2016a.average.phenotype.of.strongest.3.2,Weissman2016a.threshold,Weissman2016i.Rep1_2.Mann.Whitney.p.value,Weissman2016i.average.phenotype.of.strongest.3.2
776,VKORC1L1,ENSG00000196715,0.46,0,0.531992687,0,NA,NA,NA,0.21795,0.27946,0,0.999997,5334,-0.008060452,-0.006496907,0,0.689619338,2.06919031,1,1,0,1,0.031698962,-0.4,0.00055,1,1,-0.942,5.66E-05,0.82,1,0.273,0.074251808,0,-0.124,0.767793338,0,-0.319,0.17216624,0,-0.166,0.766255902,0,0.13,0,0.113,0,1.212,1,0.033,0,0.417,0,0.508,0,0.582,0,0.265,0,-0.184,0,0.067,0,-0.159,0,0.053,0,-0.36,0,0.113,0,-0.031,0,1.44008837,0.000158618,1,0.000412272,-0.03401308,1,0.054796122,0.014269717
390,KCTD7,ENSG00000243335,0.55,0,0.542857143,0,NA,NA,NA,0.56078,0.56047,0,0.999997,10618,-0.018639933,0.010707854,0,0.112960714,0.712041314,0,1,0,1,0.082455769,-0.065,0.213,1,0,-0.045,0.537,1,0,-0.247,0.606234698,0,-0.227,0.807666819,0,0.431,0.266723535,0,-0.305,0.753092613,0,-0.426,0,-0.302,0,-0.497,0,-0.452,0,-0.359,0,0.268,0,0.031,0,-0.017,0,-0.106,0,-0.336,0,-0.494,0,0.508,0,0.038,0,-0.683,0,-0.424,0,1.087653742,0.011066505,1,0.003739388,-0.027807553,1,0.704016523,0.013199002
420,LRRC17,ENSG00000128606,NA,0,NA,0,NA,NA,NA,0.56869,0.56842,0,0.999997,10759,NA,NA,0,0.138201913,0.788770928,0,1,0,1,0.056205853,-0.28,0.017,1,1,-0.202,0.369,1,0,0.27,0.165559103,0,0.341,0.288671743,0,0.238,0.593195241,0,0.101,0.824227833,0,0.364,0,0.093,0,0.033,0,0.145,0,0.416,0,0.02,0,0.236,0,-0.055,0,0.009,0,0.384,0,0.148,0,-0.067,0,-0.041,0,0.124,0,-0.13,0,NA,NA,0,0.01304807,-0.030303835,1,0.181169176,-0.021737774
553,POU6F2,ENSG00000106536,0.5,0,0.522222222,0,NA,NA,NA,0.29318,0.33185,0,0.999997,6323,-0.008281315,0.001813264,0,0.038022732,0.640670356,0,1,0,1,0.056163663,-1.58,0.000322,1,1,0.145,0.671,1,0,-0.764,0.58106038,0,-1.28,0.864854716,0,-0.24,0.999981366,0,-0.332,0.838797887,0,-0.138,0,-0.872,0,-0.987,0,-0.322,0,-0.651,0,-0.95,0,-0.72,0,-0.259,0,-0.908,0,-1.029,0,-0.601,0,0.142,0,-0.39,0,-0.917,0,-0.38,0,NA,NA,0,0.047227199,-0.003756181,1,0.763428232,0.009990113
656,SP4,ENSG00000105866,0.51,0,0.54318618,0,NA,NA,NA,0.5206,0.52079,0,0.999997,9869,-0.005412301,-0.009942786,0,0.170915204,0.859644388,0,1,0,1,0.290516354,-1.16,0.001,1,1,-3.81,0.008,1,1,0.033,0.847918081,0,0.066,0.498609485,0,0.037,0.894583203,0,-0.158,0.987088562,0,-0.347,0,0.283,0,-0.061,0,0.055,0,0.266,0,0.024,0,-0.572,0,0.173,0,-0.029,0,0.244,0,-0.045,0,-0.054,0,0.165,0,0.214,0,-0.009,0,NA,NA,0,0.032661847,-0.026252839,1,0.467554952,-0.042154768
70,ATXN7L1,ENSG00000146776,0.52,0,0.490773713,0,NA,NA,NA,0.13498,0.21641,0,0.996358,4135,0.007851091,-0.041156811,0,-0.427682713,0.890784918,0,1,0,1,0.079441498,-0.515,9.52E-06,0.133,1,-0.722,0.029,1,1,-0.976,0.346905891,0,-1.823,0.267925002,0,-0.597,0.810705484,0,-1.332,0.649340179,0,-0.409,0,-1.486,0,-2.061,0,-0.447,0,-1.701,0,-0.517,0,-1.132,0,-1.135,0,-0.903,0,-1.339,0,-1.242,0,-0.971,0,-1.817,0,-0.352,0,-1.517,0,NA,NA,0,0.01429662,-0.028856028,1,0.075486441,0.015556798
429,LUC7L2,NA,NA,0,NA,0,NA,NA,NA,0.36035,0.38215,0,0.999997,7236,0.005049018,-0.01303124,0,-0.341041646,0.796933115,0,0.008128302,1,0.332228783,0.875265445,-1.09,1.90E-13,2.76E-09,1,-0.95,0.000174,1,1,-0.987,0.001935995,0,-1.534,0.011230159,0,0.067,0.683805353,0,-0.19,0.991635532,0,-0.005,0,-1.055,0,0.364,0,-0.312,0,0.024,0,-1.127,0,-1.379,0,0.747,0,-0.11,0,-1.269,0,-0.991,0,-0.914,0,-0.946,0,-2.606,0,-0.557,0,NA,NA,0,0.023538013,-0.015354312,1,0.546132414,0.018417771
370,IKZF1,ENSG00000185811,0.48,0,0.412065814,0,NA,NA,NA,0.80726,0.80725,0,0.999997,15232,-0.010410297,-0.087810925,1,0.569285339,1.53368153,1,1,0,1,0.029157148,-2.81,1.69E-19,2.47E-15,1,-1.862,0.004,1,1,-0.205,0.882928449,0,-0.496,0.334477294,0,-0.986,0.053192678,0,-1.126,0.074577148,0,-1.638,0,-0.135,0,-1.498,0,-1.671,0,-1.525,0,-1.54,0,-2.353,0,-1.323,0,-1.244,0,-2.038,0,-0.516,0,-1.773,0,-0.155,0,-0.551,0,-1.766,0,NA,NA,0,0.000684551,-0.041884986,1,0.100815595,-0.021266041
367,IGF2BP3,ENSG00000136231,0.52,0,0.499684675,0,NA,NA,NA,0.80499,0.80495,0,0.999997,15182,-0.000363311,-0.002830441,0,-0.14089681,0.69171405,0,1,0,1,0.095843226,-1.305,1.04E-19,1.53E-15,1,0.914,1,1,0,0.029,0.363306499,0,-0.12,0.919441273,0,0.189,0.925462401,0,-0.004,0.811953466,0,0.145,0,0.175,0,0.1,0,-0.301,0,0.383,0,-0.393,0,-0.001,0,0.488,0,-0.346,0,-0.318,0,0.201,0,-0.305,0,0.282,0,-0.304,0,0.379,0,NA,NA,0,0.031975431,-0.029546396,1,0.918003955,0.011793798
80,BHLHA15,ENSG00000180535,NA,0,NA,0,NA,NA,NA,0.64842,0.64818,0,0.999997,12242,0.00311402,0.04509376,0,-0.35550348,0.795579569,0,1,0,1,0.086192498,-1.88,1.08E-28,1.61E-24,1,-1.139,0.000129,1,1,0.069,0.708056012,0,0.013,0.633307447,0,0.016,0.927083033,0,-0.285,0.371340232,0,0.439,0,-0.234,0,-0.243,0,0.313,0,-0.096,0,-0.165,0,-0.09,0,0.099,0,-0.141,0,0.084,0,-0.268,0,-0.035,0,-0.528,0,-0.497,0,0,0,NA,NA,0,0.006664032,-0.033183783,1,0.056659546,-0.022372093
