,Gene,ENSEMBL_ID,Brummelkamp.hap1.GTS.ratio,Brummelkamp.kbm7.GTS.ratio,Chen2019.pos.score,Chen2019.pos.p.value,Chen2019.pos.fdr,Chen2019.pos.rank,Weissman2014.CRISPRa.Growth.phenotype..mean.of.top.3.gammas.,Doench2018.Average.LFC,Doench2018.Average.nlog.p.values.,Elledge2013.TUSON_p_value_TSG,Elledge2013.TUSON_q_value_TSG,Elledge2013.TSG_Probability_LASSO,Elledge2019.HMEC.Average.Log2FC.Drop,Elledge2019.HMEC.Combined.pvalue.drop,Elledge2019.HMEC.FDR.drop,Elledge2019.HPNE.Average.Log2.Drop,Elledge2019.HPNE.Combined.pvalue.drop,Elledge2019.HPNE.FDR.drop,Sabbatini2015.KBM7.CS,Sabbatini2015.KBM7.adjusted.p.value,Sabbatini2015.K562.CS,Sabbatini2015.K562.adjusted.p.value,Sabbatini2015.Jiyoye.CS,Sabbatini2015.Jiyoye.adjusted.p.value,Sabbatini2015.Raji.CS,Sabbatini2015.Raji.adjusted.p.value,Sabbatini2017.EOL.1,Sabbatini2017.HEL,Sabbatini2017.MOLM.13,Sabbatini2017.MonoMac1,Sabbatini2017.NB4.rep1,Sabbatini2017.NB4.rep2,Sabbatini2017.OCI.AML2,Sabbatini2017.OCI.AML3,Sabbatini2017.OCI.AML5,Sabbatini2017.P31.FUJ,Sabbatini2017.PL.21,Sabbatini2017.SKM.1,Sabbatini2017.TF.1,Sabbatini2017.THP.1,Weissman2016a.Rep1_2.Mann.Whitney.p.value,Weissman2016a.average.phenotype.of.strongest.3.2,Weissman2016i.Rep1_2.Mann.Whitney.p.value,Weissman2016i.average.phenotype.of.strongest.3.2
0,VKORC1L1,ENSG00000196715,0.46,0.531992687,0.21795,0.27946,0.9999969999999999,5334.0,-0.006496907,0.689619338,2.06919031,1.0,1.0,0.031698962000000004,-0.4,0.00055,1.0,-0.9420000000000001,5.660000000000001e-05,0.82,0.273,0.074251808,-0.124,0.7677933379999999,-0.319,0.17216624,-0.166,0.766255902,0.13,0.113,1.212,0.033,0.508,0.5820000000000001,0.265,-0.184,0.067,-0.159,0.053,-0.36,0.113,-0.031,0.000412272,-0.03401308,0.054796122,0.014269717
1,KCTD7,ENSG00000243335,0.55,0.542857143,0.5607800000000001,0.56047,0.9999969999999999,10618.0,0.010707854,0.112960714,0.712041314,1.0,1.0,0.082455769,-0.065,0.213,1.0,-0.045,0.537,1.0,-0.247,0.606234698,-0.22699999999999998,0.807666819,0.431,0.266723535,-0.305,0.753092613,-0.426,-0.302,-0.49700000000000005,-0.452,0.268,0.031,-0.017,-0.106,-0.336,-0.494,0.508,0.038,-0.6829999999999999,-0.424,0.0037393879999999997,-0.027807553,0.704016523,0.013199002
2,LRRC17,ENSG00000128606,,,0.5686899999999999,0.56842,0.9999969999999999,10759.0,,0.138201913,0.7887709279999999,1.0,1.0,0.056205853,-0.28,0.017,1.0,-0.20199999999999999,0.369,1.0,0.27,0.165559103,0.341,0.288671743,0.23800000000000002,0.593195241,0.10099999999999999,0.824227833,0.364,0.09300000000000001,0.033,0.145,0.02,0.23600000000000002,-0.055,0.009000000000000001,0.384,0.14800000000000002,-0.067,-0.040999999999999995,0.124,-0.13,0.01304807,-0.030303835,0.18116917600000002,-0.021737773999999998
3,POU6F2,ENSG00000106536,0.5,0.522222222,0.29318,0.33185,0.9999969999999999,6323.0,0.001813264,0.038022732000000004,0.640670356,1.0,1.0,0.056163662999999996,-1.58,0.000322,1.0,0.145,0.6709999999999999,1.0,-0.764,0.58106038,-1.28,0.864854716,-0.24,0.999981366,-0.332,0.838797887,-0.138,-0.872,-0.987,-0.322,-0.95,-0.72,-0.259,-0.9079999999999999,-1.0290000000000001,-0.601,0.142,-0.39,-0.917,-0.38,0.047227199000000004,-0.003756181,0.763428232,0.009990113
4,SP4,ENSG00000105866,0.51,0.54318618,0.5206,0.52079,0.9999969999999999,9869.0,-0.009942786,0.170915204,0.859644388,1.0,1.0,0.290516354,-1.16,0.001,1.0,-3.81,0.008,1.0,0.033,0.847918081,0.066,0.498609485,0.037000000000000005,0.8945832029999999,-0.158,0.9870885620000001,-0.34700000000000003,0.28300000000000003,-0.061,0.055,0.024,-0.5720000000000001,0.17300000000000001,-0.028999999999999998,0.244,-0.045,-0.054000000000000006,0.165,0.214,-0.009000000000000001,0.032661847,-0.026252839,0.467554952,-0.042154767999999995
5,ATXN7L1,ENSG00000146776,0.52,0.49077371299999994,0.13498,0.21641,0.996358,4135.0,-0.041156811,-0.427682713,0.8907849179999999,1.0,1.0,0.079441498,-0.515,9.52e-06,0.133,-0.722,0.028999999999999998,1.0,-0.976,0.346905891,-1.8230000000000002,0.26792500199999997,-0.597,0.8107054840000001,-1.3319999999999999,0.649340179,-0.409,-1.486,-2.061,-0.447,-0.517,-1.1320000000000001,-1.135,-0.903,-1.339,-1.242,-0.971,-1.817,-0.35200000000000004,-1.517,0.01429662,-0.028856028,0.075486441,0.015556798
6,LUC7L2,,,,0.36035,0.38215,0.9999969999999999,7236.0,-0.01303124,-0.34104164600000003,0.796933115,0.008128301999999999,0.332228783,0.875265445,-1.09,1.9e-13,2.7600000000000004e-09,-0.95,0.000174,1.0,-0.987,0.001935995,-1.534,0.011230158999999998,0.067,0.683805353,-0.19,0.991635532,-0.005,-1.055,0.364,-0.312,-1.127,-1.379,0.747,-0.11,-1.2690000000000001,-0.991,-0.914,-0.946,-2.6060000000000003,-0.557,0.023538012999999997,-0.015354312,0.546132414,0.018417771
7,IKZF1,ENSG00000185811,0.48,0.412065814,0.8072600000000001,0.80725,0.9999969999999999,15232.0,-0.087810925,0.569285339,1.53368153,1.0,1.0,0.029157147999999997,-2.81,1.6899999999999998e-19,2.47e-15,-1.8619999999999999,0.004,1.0,-0.205,0.8829284490000001,-0.496,0.334477294,-0.986,0.053192678,-1.126,0.074577148,-1.6380000000000001,-0.135,-1.4980000000000002,-1.671,-1.54,-2.353,-1.3230000000000002,-1.244,-2.0380000000000003,-0.516,-1.7730000000000001,-0.155,-0.551,-1.766,0.000684551,-0.041884986,0.100815595,-0.021266041
8,IGF2BP3,ENSG00000136231,0.52,0.499684675,0.80499,0.80495,0.9999969999999999,15182.0,-0.002830441,-0.14089681,0.69171405,1.0,1.0,0.09584322599999999,-1.305,1.0400000000000001e-19,1.53e-15,0.914,1.0,1.0,0.028999999999999998,0.363306499,-0.12,0.919441273,0.18899999999999997,0.925462401,-0.004,0.811953466,0.145,0.175,0.1,-0.301,-0.39299999999999996,-0.001,0.488,-0.34600000000000003,-0.318,0.201,-0.305,0.282,-0.304,0.379,0.031975431,-0.029546396000000003,0.918003955,0.011793798000000001
9,BHLHA15,ENSG00000180535,,,0.64842,0.64818,0.9999969999999999,12242.0,0.04509376,-0.35550348,0.795579569,1.0,1.0,0.086192498,-1.88,1.08e-28,1.6100000000000002e-24,-1.139,0.000129,1.0,0.069,0.708056012,0.013000000000000001,0.6333074470000001,0.016,0.927083033,-0.285,0.37134023200000005,0.439,-0.23399999999999999,-0.243,0.313,-0.165,-0.09,0.099,-0.141,0.084,-0.268,-0.035,-0.528,-0.49700000000000005,0.0,0.006664031999999999,-0.033183783,0.056659546,-0.022372093
