Gene,Entrez.GeneID,ENSEMBL_ID,Brummelkamp.hap1.GTS.ratio,Brummelkamp.hap1.GTS.threshold,Brummelkamp.kbm7.GTS.ratio,Brummelkamp.kbm7.GTS.threshold,Campbell2018.LAML.pvalues,Campbell2018.PANCANCER.pvalues,Campbell2018.Combined.pvalues,Chen2019.CS.pos.score,Chen2019.pos.p.value,Chen2019.pos.p.value.threshold,Chen2019.pos.fdr,Chen2019.pos.rank,Weissman2014.CRISPRi.Growth.phenotype..mean.of.top.3.gammas.,Weissman2014.CRISPRa.Growth.phenotype..mean.of.top.3.gammas.,Weissman2014.CRISPRa.Growth.phenotype.threshold,Doench2018.Average.LFC,Doench2018.Average.negative.log.p.values.,Doench2018.Average.negative.log.p.values.threshold,Elledge2013.TUSON_p_value_TSG,Elledge2013.TUSON_p_value_TSG.threshold,Elledge2013.TUSON_q_value_TSG,Elledge2013.TSG_Probability_LASSO,Elledge2019.HMEC.Average.Log2FC.Drop(desc),Elledge2019.HMEC.Combined.pvalue.drop,Elledge2019.HMEC.FDR.drop,Elledge2019.HMEC.Average.threshold,Elledge2019.HPNE.Average.Log2.Drop,Elledge2019.HPNE.Combined.pvalue.drop,Elledge2019.HPNE.FDR.drop,Elledge2019.HPNE.Average.threshold,Sabbatini2015.KBM7.CS,Sabbatini2015.KBM7.adjusted.p.value,Sabbatini2015.KBM7.threshold,Sabbatini2015.K562.CS,Sabbatini2015.K562.adjusted.p.value,Sabbatini2015.K562.threshold,Sabbatini2015.Jiyoye.CS,Sabbatini2015.Jiyoye.adjusted.p.value,Sabbatini2015.Jiyoye.threshold,Sabbatini2015.Raji.CS,Sabbatini2015.Raji.adjusted.p.value,Sabbatini2015.Raji.threshold,Sabbatini2017.EOL.1,Sabbatini2017.EOL.1.threshold,Sabbatini2017.HEL,Sabbatini2017.HEL.threshold,Sabbatini2017.MOLM.13,Sabbatini2017.MOLM.13.threshold,Sabbatini2017.MonoMac1,Sabbatini2017.MonoMac1.threshold,Sabbatini2017.MV411.threshold,Sabbatini2017.MV412,Sabbatini2017.NB4.rep1,Sabbatini2017.NB4.rep1.threshold,Sabbatini2017.NB4.rep2,Sabbatini2017.NB4.rep2.threshold,Sabbatini2017.OCI.AML2,Sabbatini2017.OCI.AML2.threshold,Sabbatini2017.OCI.AML3,Sabbatini2017.OCI.AML3.threshold,Sabbatini2017.OCI.AML5,Sabbatini2017.OCI.AML5.threshold,Sabbatini2017.P31.FUJ,Sabbatini2017.P31.FUJ.threshold,Sabbatini2017.PL.21,Sabbatini2017.PL.21.threshold,Sabbatini2017.SKM.1,Sabbatini2017.SKM.threshold,Sabbatini2017.TF.1,Sabbatini2017.TF.1.threshold,Sabbatini2017.THP.1,Sabbatini2017.THP.1.threshold,Wallace2016.DEseq2.Log2.Fold.Change,Wallace2016.DEseq2.P.Value,Wallace2016.threshold,Weissman2016a.mean.Replicate1_n_2.Mann.Whitney.p.value,Weissman2016a.CS.average.phenotype.of.strongest.3.2,Weissman2016a.threshold,Weissman2016i.Rep1_2.Mann.Whitney.p.value,Weissman2016i.average.phenotype.of.strongest.3 guides.comb(avg CS for replicate 1 and 2)
POLD2,5425,ENSG00000106628,0.246339363,0,0.207792208,0,NA,NA,NA,0.52414,0.52419,0,0.999997,9935,-0.191684292,-0.00114908,0,0.346582571,1.042530929,0,1,0,1,0.168939556,-0.15,0.129,1,0,-0.201,0.266,1,0,-2.375,0.000172262,0,-2.895,0.000675671,0,-3.058,1.86E-05,0,-1.718,0.000154401,0,-2.417,0,-3.146,0,-2.7,0,-1.838,0,-2.067,0,-2.118,0,-2.35,0,-2.187,0,-2.225,0,-3.504,0,-3.275,0,-2.019,0,-2.306,0,-3.45,0,-3.567,0,1.130542074,0.024890594,1,0.137058611,-0.012418613,0,7.45E-06,-0.205830273
EZH2,2146,ENSG00000106462,0.414477525,0,0.21182266,0,0.0498,1,0.06550636,0.61422,0.614,0,0.999997,11628,0.027567093,0.034244506,0,-0.178380364,0.581781398,0,1,0,1,0.069041124,-0.39,0.009,1,0,0.421,0.95,1,0,-1.6,0.029984967,0,-0.677,0.967618297,0,-0.015,0.902487815,0,-1.35,0.001421225,0,0.068,0,-0.215,0,-1.934,0,-1.947,0,-1.868,0,-0.42,0,-0.381,0,-0.752,0,-0.665,0,-1.001,0,0.178,0,0.919,0,-1.706,0,-2.087,0,-1.605,0,NA,NA,0,0.798109366,-0.000227664,0,0.021933869,0.033730516
PTCD1,26024,ENSG00000106246,0.486842105,0,0.488023952,0,NA,NA,NA,0.98863,0.9887,0,0.999997,18786,-0.174886628,-0.049916691,0,-0.11923076,0.494116941,0,1,0,1,0.042873865,-1.265,3.28E-15,4.77E-11,1,-2.223,8.28E-11,1.23E-06,1,-1.616,0.000428537,0,-2.367,0.00032627,0,-1.282,0.006266472,0,-1.831,0.002209539,0,-1.566,0,-2.283,0,-1.447,0,-1.183,0,-1.664,0,-0.866,0,-0.968,0,-1.527,0,-1.381,0,-1.967,0,-2.01,0,-1.25,0,-0.975,0,-1.82,0,-1.544,0,NA,NA,0,0.186926934,-0.016080731,0,0.000299183,-0.147672656
MCM7,4176,ENSG00000166508,0.077803204,0,0.087719298,0,NA,NA,NA,0.72494,0.72481,0,0.999997,13679,0.007302591,-0.099646682,1,-0.243139894,0.719576168,0,0.010271812,1,0.382968404,0.651405722,-0.08,0.258,1,0,0.19,0.797,1,0,-2.674,0.004885474,0,-2.531,0.019920441,0,-2.384,0.004388801,0,-1.965,0.003534303,0,-2.779,0,-3.038,0,-3.451,0,-1.285,0,-2.536,0,-1.624,0,-2.217,0,-2.592,0,-2.385,0,-3.472,0,-3.049,0,-1.725,0,-1.879,0,-2.898,0,-3.325,0,NA,NA,0,0.529921244,-0.01496967,0,0.308964257,-0.069984494
NUP205,NA,ENSG00000155561,0.06980057,0,0.048442907,0,NA,NA,NA,0.98416,0.98426,0,0.999997,18676,-0.317501672,-0.013491858,0,-0.578155141,1.431854099,1,0.030364175,1,0.669625061,0.241634041,NA,NA,NA,0,NA,NA,NA,0,-1.457,0.067470116,0,-1.542,0.122336206,0,-2.023,0.01418695,0,-1.746,0.004900841,0,-1.159,0,-3.298,0,-1.813,0,-1.246,0,-1.453,0,-0.572,0,-0.968,0,-2.12,0,-1.361,0,-2.165,0,-2.378,0,-1.174,0,-2.369,0,-2.675,0,-2.244,0,NA,NA,0,0.050027993,0.00524048,0,2.22E-07,-0.339325245
VPS41,27072,ENSG00000006715,0.471486444,0,0.465968586,0,NA,NA,NA,0.4232,0.43306,0,0.999997,8208,-0.023796892,0.009152616,0,-0.539170857,1.174580159,0,1,0,1,0.04769379,-0.705,0.002,1,0,-1.572,0.102,1,0,-0.281,0.513740102,0,-0.553,0.432327883,0,-0.23,0.973727362,0,-1.115,0.009986147,0,-0.527,0,-0.45,0,-0.297,0,-0.935,0,-0.079,0,0.102,0,-0.189,0,-0.184,0,-0.478,0,-0.072,0,-0.091,0,0.061,0,-0.819,0,-0.503,0,0.086,0,2.191518488,5.36E-05,1,0.757874666,-0.002068636,0,0.000387517,-0.087477189
TMEM106B,54664,ENSG00000106460,0.52078971,0,0.535714286,0,NA,NA,NA,0.0030577,0.009031,1,0.89884,187,0.011400167,-0.017155475,0,-0.067275417,0.504841683,0,1,0,1,0.021110541,0.085,0.681,1,0,-2.317,0.012,1,0,0.334,0.104874353,0,0.353,0.105984624,0,0.285,0.129724343,0,0.534,0.017628966,1,0.25,0,0.271,0,-0.129,0,-0.089,0,0.452,0,0.075,0,0.109,0,0.33,0,0.295,0,0.417,0,0.3,0,0.279,0,0.32,0,-0.013,0,0.198,0,NA,NA,0,0.259324706,-0.007053647,0,0.343233956,0.007584458
ACTB,60,ENSG00000075624,0.278481013,0,0.3125,0,NA,NA,NA,0.94026,0.94008,0,0.999997,17806,-0.014110272,-0.009181852,0,-0.130356901,0.549255058,0,1,0,1,0.025552925,0.515,1,1,0,0.446,0.84,1,0,-1.648,0.000273834,0,0.01,0.621144185,0,-0.379,0.342642178,0,-1.302,0.018835723,0,-0.77,0,-1.199,0,-1.984,0,-2.669,0,-1.333,0,-1.071,0,-0.984,0,-0.951,0,-0.962,0,-2.588,0,-3.174,0,-2.325,0,-0.924,0,-1.645,0,-3.157,0,NA,NA,0,0.006687654,-0.032164147,1,0.913382635,-0.001176008
CASP2,835,ENSG00000106144,0.576959396,0,0.526315789,0,NA,NA,NA,0.074559,0.13017,0,0.987051,2515,0.010386727,-0.026189355,0,0.021652424,0.642852643,0,1,0,1,0.063889394,-2.03,6.94E-19,1.02E-14,1,-3.078,6.28E-10,9.32E-06,1,0.305,0.092937662,0,0.645,0.014590205,1,0.365,0.376244258,0,0.47,0.024668037,0,0.103,0,0.439,0,0.051,0,0.555,0,0.434,0,0.307,0,0.085,0,0.518,0,0.456,0,0.359,0,0.597,0,0.347,0,0.195,0,0.761,0,0.259,0,NA,NA,0,0.248226597,-0.011515049,0,0.766539175,0.012566641
CEP41,95681,ENSG00000106477,0.419278533,0,0.49945593,0,NA,NA,NA,0.74432,0.74407,0,0.999997,14037,-0.050272593,-0.007684815,0,-0.065144357,0.712993052,0,1,0,1,0.074406239,0.285,0.993,1,0,0.108,0.76,1,0,-0.053,0.872900978,0,0.014,0.763668533,0,0.433,0.252247976,0,0.367,0.045223651,0,-0.142,0,-1.366,0,0.034,0,-0.386,0,0.006,0,0.289,0,0.216,0,0.014,0,0.011,0,0.166,0,-0.517,0,-0.377,0,-0.02,0,-0.461,0,-0.056,0,2.103834118,0.000296236,1,0.912805403,0.004096938,0,2.07E-06,-0.046851508
