,Gene,Entrez.GeneID,ENSEMBL_ID,Brum.HAP1.GTS,Brum.KBM7.GTS,Chen2019.pos.score,Chen.pvalue,Chen.fdr,Chen.ts.rank,Weis14.csa.avg,Doen.avg.LFC,Doen.avg.neg.log.pvalue,Elle13.pvalue,Elle13.fdr,Elle13.lasso.prob,Elle18.HMEC.avg.LFC,Elle18.HMEC.combined.pvalue,Elle18.HMEC.fdr,Elle18.HPNE.avg.LFC,Elle18.HPNE.Combined.pvalue,Elle18.HPNE.fdr,Saba15.GTS,Saba15.KBM7.cs,Saba15.KBM7.fdr,Saba15.K562.cs,Saba15.K562.fdr,Saba15.Jiyoye.cs,Saba15.Jiyoye.fdr,Saba15.Raji.cs,Saba15.Raji.fdr,Saba17.EOL1,Saba17.HEL,Saba17.MOLM13,Saba17.MonoMac1,Saba17.NB4.rep1,Saba17.NB4.rep2,Saba17.OCI.AML2,Saba17.OCI.AML3,Saba17.OCI.AML5,Saba17.P31.FUJ,Saba17.PL21,Saba17.SKM1,Saba17.TF1,Saba17.THP1,Weis16.csa.MW.pvalue,Weis16.csa.avg,Weis16.csi.MW.pvalue,Weis16.csi.avg
1,ACTB,60,ENSG00000075624,0.278481013,0.3125,0.94026,0.94008,0.999997,17806,-0.009181852,-0.130356901,0.549255058,1,1,0.025552925,0.515,1,1,0.446,0.84,1,,-1.648,0.000273834,0.01,0.621144185,-0.379,0.342642178,-1.302,0.018835723,-0.77,-1.199,-1.984,-2.669,-1.071,-0.984,-0.951,-0.962,-2.588,-3.174,-2.325,-0.924,-1.645,-3.157,0.006687654,-0.032164147,0.913382635,-0.001176008
2,HNRNPA2B1,3181,ENSG00000122566,0.357395612,0.316810345,0.72917,0.72907,0.999997,13754,-0.022934747,-0.1947329,0.624725794,1,1,0.627181233,-0.1,0.443,1,0.169,0.703,1,0.247,-0.54,0.202599149,-0.614,0.695675486,-0.217,0.888732623,-0.838,0.487407802,-2.355,-1.764,-2.59,-1.566,-1.806,-1.953,-2.016,-2.188,-2.378,-1.532,-1.859,-1.382,-0.969,-2.27,0.00689758,-0.020053707,0.334264636,-0.031314461
3,IKZF1,10320,ENSG00000185811,0.47826087,0.412065814,0.80726,0.80725,0.999997,15232,-0.087810925,0.569285339,1.53368153,1,1,0.029157148,-2.81,1.69E-19,2.47E-15,-1.862,0.004,1,0.505,-0.205,0.882928449,-0.496,0.334477294,-0.986,0.053192678,-1.126,0.074577148,-1.638,-0.135,-1.498,-1.671,-1.54,-2.353,-1.323,-1.244,-2.038,-0.516,-1.773,-0.155,-0.551,-1.766,0.000684551,-0.041884986,0.100815595,-0.021266041
4,SND1,27044,ENSG00000197157,0.51536812,0.441558442,0.092595,0.15599,0.988199,3015,0.01060805,-0.645596588,1.511407487,1,1,0.15678009,,,,,,,0.501,-0.212,0.830436942,-0.444,0.951353385,0.117,0.816141951,0.505,0.118956679,0.228,-0.127,-0.378,-0.105,0.034,0.004,-0.191,-0.077,-0.312,0.428,-0.792,-0.681,-0.516,0.053,0.165497764,-0.01795747,0.08912504,-0.015184325
5,YWHAG,7532,ENSG00000170027,0.496949153,0.547195622,0.56916,0.56891,0.999997,10772,-0.054902135,-0.826659342,1.972655648,1,1,0.14307733,0.095,0.76,1,-2.934,4.25E-24,6.39E-20,0.548,-0.11,0.758011232,0.029,0.11926626,-0.611,0.396973573,-0.598,0.244806678,-0.083,-0.309,-1.263,-0.25,-0.109,0.07,-0.669,-0.748,-0.345,-1.01,-0.75,-0.691,-0.453,-0.311,0.010080796,-0.03120425,0.901611879,-0.01861098
6,EIF2AK1,27102,ENSG00000086232,0.582191781,0.518867925,0.8427,0.84236,0.999997,15921,-0.066656119,-0.020115481,0.549461798,1,1,0.252832822,-0.29,0.151,1,-0.166,0.445,1,,0.256,0.225043427,-0.038,0.568323213,0.269,0.562701928,0.027,0.777324555,-0.976,-0.014,-1.061,0.317,-0.477,-0.155,-0.398,-0.166,-0.548,0.219,-1.216,-0.058,-0.367,-0.733,0.016897432,-0.015236503,0.748916657,-0.00091555
7,KMT2C,58508,ENSG00000055609,0.420309219,0.564671101,0.03734,0.075711,0.971414,1488,-0.013827144,-0.055063258,0.550527619,1.99E-27,1.86E-24,0.969505436,,,,,,,0.559,-0.193,0.712225093,-1.115,0.744671926,-0.212,0.872572276,-0.908,0.749599355,-0.52,-0.697,-0.394,-0.289,-0.018,-0.453,-0.228,-1.054,-1.438,-0.905,-0.666,-0.773,-0.907,-1.161,0.090691149,-0.028057072,0.246894535,-0.004942856
8,MCM7,4176,ENSG00000166508,0.077803204,0.087719298,0.72494,0.72481,0.999997,13679,-0.099646682,-0.243139894,0.719576168,0.010271812,0.382968404,0.651405722,-0.08,0.258,1,0.19,0.797,1,0.261,-2.674,0.004885474,-2.531,0.019920441,-2.384,0.004388801,-1.965,0.003534303,-2.779,-3.038,-3.451,-1.285,-1.624,-2.217,-2.592,-2.385,-3.472,-3.049,-1.725,-1.879,-2.898,-3.325,0.529921244,-0.01496967,0.308964257,-0.069984494
9,KMT2E,55904,ENSG00000005483,0.642563783,0.595214021,0.89898,0.89856,0.999997,17003,-2.49E-05,-1.094456062,3.246145005,0.009294686,0.361698834,0.215083932,0.16,0.732,1,0.461,0.777,1,0.586,0.111,0.56344309,-0.326,0.645862067,0.242,0.532911858,-0.068,0.840770679,-0.164,-0.026,-0.219,-0.106,-0.077,0.091,0.349,0.179,0.015,-0.384,-0.115,0.435,-0.216,-0.072,0.421209834,-0.037988348,0.597201318,0.022040199
10,ZC3HAV1,56829,ENSG00000105939,0.472190692,0.472833469,0.402,0.41545,0.999997,7875,0.072369718,-0.163840304,0.607535697,1,1,0.037858279,-1.63,3.11E-10,4.47E-06,-4.272,7.41E-08,0.001,0.499,0.399,0.083282351,-0.863,0.194761866,0.292,0.521533903,0.199,0.303497144,-0.241,0.081,-0.261,-0.161,-0.473,-0.905,-0.292,-0.302,-0.542,-0.761,-0.08,-0.05,-0.775,-0.077,0.001667374,0.043515969,0.117264691,0.015522228
