Gene,Datamine_all
AGK,1
BHLHA15,1
BRAF,1
CASP2,1
CLDN15,1
DLX5,1
DNAJC30,1
ETV1,1
EVX1,1
FBXO24,1
FSCN3,1
GBX1,1
GCK,1
GPER1,1
HOXA1,1
IGF2BP3,1
IKZF1,1
IRF5,1
KLF14,1
LUC7L2,1
MEOX2,1
MMD2,1
NRF1,1
PAXIP1,1
PHKG1,1
PRR15,1
PTCD1,1
PURB,1
SLC29A4,1
SMO,1
SPDYE1,1
SPDYE2,1
STX1A,1
TMEM120A,1
TWIST1,1
YWHAG,1
ZC3HAV1,1
ZNF467,1
ZNF777,1
ZSCAN25,1
VPS41,1
VKORC1L1,1
ZDHHC4,1
CEP41,1
LMBR1,1
KRIT1,1
CCZ1B,1
ALKBH4,1
KCTD7,1
STK17A,1
BCAP29,1
ZNF92,1
GTF2IRD1,1
LRCH4,1
GNAI1,1
DTX2,1
POLD2,1
DNAJB9,1
PLOD3,1
GIMAP2,1
C1GALT1,1
CCM2,1
PHF14,1
TARP,1
AHR,1
HOXA13,1
GRB10,1
BPGM,1
SGCE,1
PPIA,1
PTPN12,1
FLNC,1
HIP1,1
ELN,1
HEPACAM2,1
SEMA3C,1
TNRC18,1
ACTB,1
ZNF800,1
ADCY1,1
C7orf62,1
LRRC17,1
ATXN7L1,1
DENND2A,1
ZNF735,1
RABGEF1,1
GAL3ST4,1
SP4,1
RSPH10B2,1
LIMK1,1
ZNF862,1
CPA1,1
JAZF1,1
ANKRD7,1
MOSPD3,1
RELN,1
CALN1,1
RASA4,1
GNGT1,1
ASL,1
VWC2,1
HNRNPA2B1,1
ISPD,1
ATG9B,1
MTPN,1
TMED4,1
ELFN1,1
TES,1
ZNF789,1
ZNF277,1
NPVF,1
C7orf55-LUC7L2,1
EIF2AK1,1
HECW1,1
TRIM4,1
ZP3,1
UPK3B,1
POU6F2,1
AP4M1,1
AP5Z1,1
CARD11,1
CREB5,1
CUX1,1
CYP2W1,1
EGFR,1
EZH2,1
HOXA10,1
KMT2C,1
KMT2E,1
LSMEM1,1
MCM7,1
MET,1
NUP205,1
PRSS58,1
PUS7,1
RAC1,1
RALA,1
SFRP4,1
SND1,1
SYPL1,1
TMEM106B,1
TMEM248,1
TRIP6,1
WASL,1
ZC3HAV1L,1
ZNF12,1
