"","Brum.HAP1.GTS","Brum.KBM7.GTS","Weis14.csa.avg","Sabb15.KBM7.cs","Sabb15.K562.cs","Sabb15.Jiyoye.cs","Sabb15.Raji.cs","Sabb17.EOL","Sabb17.HEL","Sabb17.MOLM13","Sabb17.MonoMac1","Sabb17.NB4.rep1","Sabb17.NB4.rep2","Sabb17.OCI.AML2","Sabb17.OCI.AML3","Sabb17.OCI.AML5","Sabb17.P31.FUJ","Sabb17.PL21","Sabb17.SKM1","Sabb17.TF1","Sabb17.THP1","CGC_Tier","TSgene","rank"
"1",0.503403345,0.534751773,-0.249164259,-0.471,-0.137,-0.063,-0.196,-0.143,-0.011,-0.153,0.114,0.014,0.078,-0.057,-0.321,0.004,0.028,-0.387,-0.292,-0.053,-0.13,0,0,7039
"2",0.514247208,0.521775197,0.082007839,0.064,-0.046,0.115,0.216,-0.163,-0.314,0.242,-0.034,0.04,-0.03,0.035,-0.076,0.184,0.19,0.148,-0.169,-0.555,-0.221,0,0,16534
"3",0.48381295,0.490506329,-0.065684345,-0.317,-0.249,-0.128,-0.287,-0.35,0.104,-0.102,0.058,-0.238,-0.344,-0.134,-0.568,-0.508,-0.209,-0.881,-0.336,-0.264,-0.077,0,0,11973
"4",0.522580645,0.476121563,0.007211053,-0.43,-0.624,0.026,0,-0.218,-0.369,-0.339,-0.181,0.099,-0.477,-0.134,-0.382,-0.345,-0.256,0.026,-0.175,-1.07,0.094,0,0,6776
"5",0.777777778,0,0.006034791,-0.153,-0.566,-0.132,-0.453,-0.989,-1.028,-1.531,-0.31,-0.528,-0.856,-0.722,-0.234,-0.842,-1.16,-0.81,-0.978,-0.92,-0.607,0,0,10000
"6",0.499036812,0.496274218,-0.0074223265,0.008,0.16,-0.228,0.104,0.359,-0.072,0.04,0.203,0.265,0.23,0.177,-0.147,-0.305,-0.034,0.098,0.145,0.339,0.062,0,0,6087
"7",0.538461538,0.833333333,-0.008629295,-0.027,0.092,0.376,0.558,0.059,0.426,-0.248,0.102,-0.061,0.199,0.087,0.053,0.217,0.154,0.064,0.341,0.25,-0.201,0,0,14443
"8",0.499036812,0.496274218,-0.008245289,0.224,-0.036,0.025,-0.019,-0.182,-0.008,-0.194,-0.212,0.086,-0.088,-0.096,-0.181,0.253,0.155,-0.428,0.063,-0.294,-0.322,0,0,14354
"9",1,0.621621622,-0.045329339,0.06,0.261,0.338,-0.022,0.239,-0.403,0.307,0.047,0.278,-0.225,0.446,-0.007,0.26,0.031,-0.395,-0.066,-0.019,-0.098,0,0,9916
"10",0.517711172,0.666666667,-0.014046529,-0.022,-0.747,0.114,-0.107,0.118,-0.173,0.204,-0.355,-0.449,-0.602,-0.498,-0.12,-0.477,-0.053,-0.364,-0.02,-0.673,0.109,0,0,6195
"11",0.473372781,0.480952381,0.007914999,-0.237,0.107,0.052,0.044,-0.291,-0.546,0.317,0.073,-0.199,-0.175,-0.028,0.099,-0.159,-0.093,-0.001,-0.176,-0.379,-0.225,0,0,16868
"12",0.462686567,0.574468085,-0.010525097,-0.163,-0.281,-0.058,-0.019,-0.156,0.002,-0.085,-0.172,-0.142,-0.141,0.006,0.004,-0.106,-0.157,-0.002,-0.041,-0.227,-0.24,0,0,14120
"13",0.509544787,0.458041958,-0.0074223265,-0.071,-0.135,-0.246,0.08,0.179,-0.016,0.338,0.249,-0.053,0.021,0.291,-0.1,0.196,0.141,-0.145,-0.418,0.111,-0.141,0,0,8713
"14",0.545454545,1,-0.028673555,-0.457,-0.369,0.1,0.025,-0.672,-0.376,0.368,-0.443,-0.583,0.135,-0.206,0.156,-0.337,-0.356,-0.018,-0.426,-0.17,-0.096,0,0,5828
"15",0.421052632,0.666666667,-0.0074223265,0.678,0.738,0.426,0.526,0.281,0.058,0.195,0.028,0.259,0.017,0.165,-0.083,0.678,0.692,0.371,0.573,1.113,0.339,0,0,11126
"16",0,0.166666667,0.006147284,0.044,-0.216,-0.217,-0.348,-0.06,-0.001,-0.313,0.119,0.207,-0.443,-0.001,0.083,-0.161,0.184,-0.365,-0.029,-0.007,-0.529,0,0,16842
"17",0.462271644,0.493670886,-0.018325417,-1.669,-2.114,-1.32,-1.285,-0.505,-1.718,-2.198,-0.676,-0.731,-1.341,-0.862,-0.431,-1.655,-1.744,-1.248,-0.779,-2.564,-1.034,0,0,9515
"18",0.513089005,0.470588235,-0.033403389,-0.001,-0.03,-0.107,-0.147,-0.122,-0.109,0.261,0.213,-0.014,0.216,-0.359,-0.457,-0.34,-0.039,-0.24,-0.227,-0.685,-0.023,0,0,17137
"19",0.499036812,0.496274218,-0.026877753,-0.084,-0.193,-0.017,-0.051,0.057,-0.126,-0.027,-0.091,-0.141,-0.476,-0.19,-0.17,-0.562,-0.361,-0.717,0.204,-0.779,-0.073,0,0,9581
"20",0.497663551,0.54174397,-0.030612813,-0.053,0.274,0.359,0.289,0.335,0.146,-0.104,0.222,0.163,0.115,0.195,0.033,-0.05,0.3,-0.506,0.006,-0.018,0.151,0,0,12092
"21",0.525114155,0.512121212,-0.046536506,0.309,0.319,0.49,0.11,-0.278,-0.42,-0.139,-0.271,-0.132,-0.1,-0.232,-0.361,0.036,0.415,-0.042,-0.099,-0.186,-0.236,0,0,18507
"22",0.477124183,0.564102564,-0.003170337,-0.819,-0.97,-0.15,-0.553,0.053,-0.455,-1.001,-0.506,-0.944,-0.926,-0.634,-0.2,-0.694,-0.867,-1.039,-0.513,-0.546,-0.522,0,0,15409
"23",0.477941176,0.53968254,-0.011172323,0.052,0.012,-0.17,0.243,-0.047,0.078,0.138,0.18,0.045,-0.379,-0.351,-0.982,0.191,0.036,-0.645,-0.287,0.354,-0.396,0,0,16572
"24",0.571428571,0,-0.000932588,0.118,0.329,0.258,0.26,-0.016,0.383,-0.1,0.124,0.307,0.212,0.33,0.13,0.172,0.299,0.189,0.192,0.336,0.266,0,0,5422
"25",0.5,0.5,-0.007672039,-0.319,0.115,-0.236,-0.109,-0.383,0.02,-0.446,-0.239,0.062,-0.119,0.179,-0.32,0.087,-0.147,-0.253,-0.109,-0.595,-0.02,0,0,3036
"26",0.499036812,0.496274218,-0.021871314,-0.084,-0.193,-0.017,-0.051,0.085,0.092,0.414,0.243,0.119,0.313,0.369,0.227,0.281,0.318,0.236,0.107,0.157,0.118,0,0,7199
"27",0.571428571,0.5,-0.010381112,0.002,0.349,0.045,0.587,-0.053,0.494,-0.084,-0.138,-0.072,0.211,0.253,0.289,0.124,0.341,-0.572,0.27,0.278,0.086,0,0,803
"28",0.481876333,0,-0.009201263,0.005,0.142,-0.063,0.162,-0.347,0.421,0.01,0.169,0.151,0.099,0.346,-0.021,0.391,0.132,0.346,0.365,0.166,-0.073,0,0,2708
"29",0.4,1,0.002681852,0.208,-0.089,-0.13,-0.026,-0.026,0.31,-0.182,-0.253,0.174,0.116,0.388,-0.184,0.237,-0.107,-0.394,-0.051,0.126,-0.053,0,0,8128
"30",0.502692998,0.411764706,0.025549072,0.053,-0.418,0.048,-0.287,-0.032,-0.028,-0.242,0.178,0.149,-0.114,-0.611,-0.446,-0.449,-0.136,-0.061,-0.707,-0.008,-0.048,0,0,18206
"31",0.386363636,0.458333333,-0.017414064,-0.184,-1.11,-0.228,0.016,0.127,-0.582,-0.88,0.103,-0.891,-0.028,-0.227,0.324,0.107,-0.35,-0.003,-0.073,0.139,-0.668,0,0,7752
"32",0.382352941,0.25,0.005884744,-0.29,-0.138,-0.529,-0.069,0.109,0.176,-0.166,0.052,0.114,-0.499,-0.068,0.318,-0.089,-0.076,-0.57,0.015,-0.157,-0.224,0,0,9680
"33",0.503062787,0.515151515,-0.007984556,-0.164,0.205,0.043,0.015,-0.698,-0.395,-0.642,-0.261,-0.392,-0.559,-0.1,-0.139,-0.957,0.061,-0.502,-0.295,-0.037,-0.195,0,0,13905
"34",1,0.496274218,-0.03226773,-0.371,-0.92,-0.548,0.002,-0.343,-0.802,-0.713,-0.39,-0.322,-0.845,-0.135,-0.204,-0.46,-0.628,-0.767,-0.68,-0.894,-0.629,0,0,17796
"35",0.499036812,0.496274218,0.019917374,0.104,0.394,0.275,0.173,-0.034,0.045,0.176,0.014,-0.166,-0.477,-0.116,0.349,-0.115,0.162,0.013,-0.303,0.119,0.443,0,0,11322
