,Gene,TS_status,pred_prob
519,EZH2,1,0.578347064
385,IKZF1,1,0.528964234
632,CCDC126,0,0.479474735
131,HYAL4,0,0.449808978
444,TRIM24,1,0.441072541
412,CDK6,0,0.436633578
473,SYPL1,0,0.424236633
34,EN2,0,0.411818517
390,KMT2C,1,0.403741209
646,GNG11,0,0.398519119
415,AHR,0,0.396831454
448,CASP2,0,0.39474487
595,SBDS,1,0.391723098
827,RP9,0,0.388194505
437,GRB10,0,0.38183231
27,DLX5,0,0.381536956
58,HOXA11,1,0.379179285
396,ZC3HAV1,0,0.378077326
236,RNF133,0,0.377581825
541,AGK,0,0.376224989
29,DYNC1I1,0,0.375806691
90,SFRP4,1,0.371027352
737,CDK14,0,0.369061549
176,NPVF,0,0.368620133
334,POLR2J3,0,0.367307257
394,MCM7,0,0.366852985
170,AKR1B10,0,0.366647405
95,TAC1,0,0.366543064
861,NPTX2,0,0.366093644
274,CNPY1,0,0.364302567
649,HOXA9,1,0.364157967
494,CDK13,0,0.36122136
593,PHF14,0,0.359136279
22,CYP3A7,0,0.358780977
311,IQCA1L,0,0.357106985
610,GET4,0,0.356692517
416,TRRAP,0,0.355721479
173,NFE4,0,0.353398193
678,NRF1,0,0.352804098
877,LSMEM1,0,0.35236501
714,ING3,0,0.351603784
495,CCM2,0,0.351463662
235,ZNF679,0,0.351143952
674,ZNF467,0,0.35044699
302,RNF148,0,0.349055078
617,PON2,0,0.348780818
197,BUD23,0,0.348421164
854,MPP6,0,0.347821346
395,KMT2E,0,0.347745941
355,SMKR1,0,0.346249295
509,UBE2H,0,0.34545082
23,CYP3A4,0,0.345404744
490,RALA,0,0.344892461
772,RAPGEF5,0,0.344554741
261,SEMA3D,0,0.342859683
447,LUC7L2,0,0.34205531
797,ABHD11,0,0.340873878
270,TAS2R40,0,0.340098346
539,SNX13,0,0.339406679
472,PPIA,0,0.339172416
840,DNAH11,0,0.338873451
552,LAMTOR4,0,0.337039977
380,HNRNPA2B1,0,0.336953491
179,CYP3A43,0,0.335203939
572,TMEM106B,0,0.334177244
735,ZNF777,0,0.333988434
627,DAGLB,0,0.333951794
59,HOXA13,0,0.332405022
266,STEAP1B,0,0.33181263
561,AP5Z1,0,0.331058653
859,SEMA3A,0,0.329262127
346,LUZP6,0,0.32809437
641,CHN2,0,0.327635209
222,RUNDC3B,0,0.327331433
718,BRAF,0,0.326089768
45,GNGT1,0,0.324602233
847,GIMAP4,0,0.324571811
386,SND1,0,0.324540425
13,CFTR,0,0.32391696
323,ZNF716,0,0.323545578
612,GCC1,0,0.322246018
515,PSMC2,0,0.321876166
884,CAV1,0,0.321124601
262,POLR2J2,0,0.319464782
382,INSIG1,0,0.319316141
468,ATP6V1F,0,0.318537181
483,PMPCB,0,0.318306368
496,CUX1,1,0.317674858
723,POLR2J,0,0.317457903
422,TMEM248,0,0.317098233
502,PSMA2,0,0.316655791
362,TMEM178B,0,0.314208018
47,GPER1,0,0.314183116
555,POT1,1,0.312369365
514,KRIT1,0,0.311067927
785,SERPINE1,0,0.307843404
619,TWISTNB,0,0.306007317
689,DBF4,0,0.305982611
219,ASZ1,0,0.305948929
805,TMEM243,0,0.305754855
530,MEPCE,0,0.305522504
538,IRF5,0,0.305346572
684,RBM28,0,0.305146488
96,TWIST1,0,0.304604151
512,IGF2BP3,0,0.30350023
281,ABCB5,0,0.303109553
457,STEAP4,0,0.302493991
309,ELFN1,0,0.301265496
151,WNT16,0,0.300814006
134,CNTNAP2,1,0.299510552
643,BRI3,0,0.299419931
379,ACTB,0,0.297820898
288,GNAT3,0,0.297563944
721,RINT1,0,0.295534281
752,BPGM,0,0.295269139
803,AP4M1,0,0.295029259
569,ZNF12,0,0.294733736
486,NCAPG2,0,0.294185144
411,EIF3B,0,0.293694096
429,TAX1BP1,0,0.293510009
241,C7orf33,0,0.292359718
567,TMUB1,0,0.29166096
765,VKORC1L1,0,0.290977064
781,GPR141,0,0.290292668
434,SRRT,0,0.289602094
653,HSPB1,0,0.289447236
143,NXPH1,0,0.289013934
44,GLI3,0,0.288654674
40,NIPSNAP2,0,0.288639635
584,DDX56,0,0.288490561
615,PRKRIP1,0,0.288425029
265,TMEM196,0,0.28840946
92,SLC13A1,0,0.287990023
330,SPDYE5,0,0.287928173
111,SEMA3E,0,0.2877083
620,CASD1,0,0.286378507
547,SNX10,0,0.285769148
477,DLD,0,0.285474116
837,ZNF775,0,0.285363232
744,HUS1,0,0.285217737
843,GTF2IRD1,0,0.284758909
531,POR,0,0.284753719
527,COPS6,0,0.284595982
233,AGR3,0,0.284368249
731,BLVRA,0,0.284230462
722,GTPBP10,0,0.283621708
292,KLRG2,0,0.283258362
746,SAP25,0,0.282937576
724,C7orf26,0,0.282212611
866,FAM20C,0,0.282061903
221,ASB15,0,0.281829861
656,SLC25A13,0,0.281544233
132,TSPAN12,0,0.280483488
795,IL6,0,0.279983813
784,CREB5,0,0.279941402
33,ELN,0,0.279718338
121,ZPBP,0,0.279177648
11,CAMK2B,0,0.278926142
239,BHLHA15,0,0.278831605
419,GSTK1,0,0.278758418
698,XRCC2,0,0.278430185
711,ST7,0,0.278320766
766,PMS2,1,0.278185077
325,SPDYE2,0,0.277951799
833,EPHB4,0,0.276781969
742,PSMG3,0,0.276622602
662,RABGEF1,0,0.276432948
534,IMPDH1,0,0.276180389
470,INTS1,0,0.275026534
695,HOXA10,0,0.274680286
161,PPP1R9A,0,0.274639238
525,TES,0,0.274013733
720,MACC1,0,0.273832815
273,POM121L12,0,0.2733479
882,PODXL,0,0.273120185
563,ANKMY2,0,0.272745312
666,C1GALT1,0,0.272173806
821,PRRT4,0,0.271922601
590,BRAT1,0,0.271824475
93,SPAM1,0,0.271060134
516,TNS3,0,0.270696861
616,TAF6,0,0.27007665
402,NAMPT,0,0.269949518
726,EEPD1,0,0.269423873
764,WASL,0,0.269378594
441,ORAI2,0,0.269250185
528,FAM126A,0,0.269156778
195,FOXP2,0,0.268870819
213,C7orf57,0,0.268700226
585,RFC2,0,0.268659728
558,FIS1,0,0.268205977
442,OGDH,0,0.267966844
629,TBL2,0,0.267932631
301,TRIM74,0,0.26732538
303,NPSR1,0,0.267006787
756,PTCD1,0,0.266882118
660,DNAJB9,0,0.266814712
129,NACAD,0,0.266562339
745,CDK5,0,0.266370326
713,AGFG2,0,0.2660363
440,GIGYF1,0,0.265706351
481,GATAD1,0,0.265586571
719,C7orf25,0,0.265352498
871,ZNF425,0,0.265147479
548,SRPK2,0,0.264628685
815,TPK1,0,0.263447682
576,TBRG4,0,0.26342615
734,MRPS33,0,0.26339817
183,CFAP69,0,0.2631589
787,LRWD1,0,0.26309097
257,NYAP1,0,0.262499604
157,CYP2W1,0,0.262114969
706,CCDC71L,0,0.261855196
359,ANKRD61,0,0.261811531
230,AMZ1,0,0.261795229
436,ZNF655,0,0.26172418
493,KBTBD2,0,0.261592872
392,HIPK2,0,0.261508764
763,CCDC136,0,0.261396163
497,SLC25A40,0,0.261290136
368,URGCP-MRPS24,0,0.260716264
622,TMEM168,0,0.260518862
425,BAZ1B,0,0.26039073
839,AGR2,0,0.259950099
834,IMMP2L,0,0.259703421
500,WIPI2,0,0.259488635
279,UNCX,0,0.259469714
91,SHH,0,0.259402434
796,MRPS17,0,0.259232215
120,PPP1R17,0,0.259075979
409,MKRN1,0,0.258806036
807,PLXNA4,0,0.258168517
696,AEBP1,0,0.258027524
443,CYP51A1,0,0.257915716
428,REPIN1,0,0.257365811
431,KCNH2,0,0.257339093
420,MDH2,0,0.257196461
465,CUL1,0,0.257097536
484,CLIP2,0,0.256847291
672,ZNF746,0,0.256708851
456,ZMIZ2,0,0.256350365
138,STEAP1,0,0.256152387
453,NUP205,0,0.256101183
692,KCTD7,0,0.255943365
504,CLEC5A,0,0.255640234
664,MICALL2,0,0.255424938
106,SGCE,0,0.255087678
510,ANLN,0,0.254936183
388,YWHAG,0,0.254763908
614,NDUFA4,0,0.254380429
458,CCT6A,0,0.253323965
700,EPHB6,0,0.252938975
466,UBE3C,0,0.252914261
357,ZNF783,0,0.252855694
418,GNB2,0,0.252661269
668,NOM1,0,0.25229735
704,NDUFB2,0,0.251316163
768,ARL4A,0,0.251302658
341,SPDYE6,0,0.250852956
83,PRSS2,0,0.250833372
400,PTPN12,0,0.25061329
282,CTAGE6,0,0.249739052
491,MKLN1,0,0.249328613
865,SCIN,0,0.249316856
430,ZKSCAN1,0,0.249041655
811,AIMP2,0,0.248936383
460,VPS41,0,0.248331734
846,FAM221A,0,0.248314777
479,PURB,0,0.248020803
16,COL1A2,0,0.247650184
245,PRPS1L1,0,0.247448274
155,TAS2R5,0,0.247257339
347,CTAGE4,0,0.247013429
32,EGFR,0,0.246775736
858,VWDE,0,0.246751756
19,CLDN4,0,0.246130627
758,ITGB8,0,0.245105183
459,ARF5,0,0.245071851
596,CHCHD3,0,0.245018809
78,PIP,0,0.244314499
351,ZNF316,0,0.244290947
489,TOMM7,0,0.244218661
879,PGAM2,0,0.244145453
881,KIAA0895,0,0.244141663
112,TCAF1,0,0.243630321
601,CYCS,0,0.243558361
566,FOXK1,0,0.243136536
517,SUN1,0,0.24285303
211,KLF14,0,0.242288438
542,MEST,0,0.241939968
467,RAC1,0,0.24190822
824,STAG3,0,0.241766005
571,BUD31,0,0.241537836
