Name,Interpolated.1.1,Interpolated.1.2,Interpolated.1.3,Interpolated.1.4,Interpolated.2.1,Interpolated.2.2,Interpolated.2.3,Interpolated.2.4,Interpolated.3.1,Interpolated.3.2,Interpolated.3.3,Interpolated.3.4,Interpolated.4.1,Interpolated.4.2,Interpolated.4.3,Interpolated.4.4,Interpolated.5.1,Interpolated.5.2,Interpolated.5.3,Interpolated.5.4,Interpolated.6.1,Interpolated.6.2,Interpolated.6.3,Interpolated.6.4,Interpolated.7.1,Interpolated.7.2,Interpolated.7.3,Interpolated.7.4,,mean_allplates_ea_gene
AAVS1,1.8692,1.9527,2.4525,1.7296,1.0472,0.991,0.5849,1.1666,0.1082,0.1047,0.092,0.1958,0.7126,1.371,1.2581,1.3391,0.4909,0.4531,0.5174,0.4743,0.5743,0.6089,0.5175,0.48981,1.219,1.5334,1.156,1.2942,,
ACHE,3.317,3.3193,3.0985,3.2449,NA,NA,NA,NA,0.2255502,0.214094,0.1825644,0.306612,NA,NA,NA,NA,NA,NA,NA,NA,0.9924,0.9821,0.9096,0.94467,NA,NA,NA,NA,,
AGFG2,2.3868,2.4803,2.2177,2.3616,NA,NA,NA,NA,0.1287236,0.1203402,0.1130256,0.2553096,NA,NA,NA,NA,NA,NA,NA,NA,0.5627,0.5724,0.5091,0.46029,NA,NA,NA,NA,,
AGK,NA,NA,NA,NA,0.577,0.5272,0.4161,0.872,0.1063,0.1089,0.0956,0.2332,NA,NA,NA,NA,0.5201,0.4939,0.5963,0.5509,NA,NA,NA,NA,NA,NA,NA,NA,,
AHR,NA,NA,NA,NA,1.1822,1.1474,0.8532,1.4202,NA,NA,NA,NA,0.9731,1.945,1.8249,1.8711,NA,NA,NA,NA,0.6638,0.6789,0.5175,0.48549,2.3974,2.3414,2.3822,2.5898,,
ALKBH4,NA,NA,NA,NA,0.9286,0.9458,0.6725,1.316,NA,NA,NA,NA,0.8313,1.616,1.6905,1.6689,NA,NA,NA,NA,0.6329,0.668,0.554,0.55875,1.9084,1.8904,1.969,2.064,,
AP4M1,NA,NA,NA,NA,0.6506,0.6344,0.4113,0.8244,0.1134,0.1099,0.0616,0.1774,NA,NA,NA,NA,1.0603,1.0091,1.0307,0.9488,NA,NA,NA,NA,NA,NA,NA,NA,,
ATXN7L1,NA,NA,NA,NA,0.7654,0.8516,0.0652,0.1338,NA,NA,NA,NA,0.7493,1.5142,1.6645,1.7183,NA,NA,NA,NA,0.5686,0.5631,0.4546,0.46587,NA,NA,NA,NA,,
C1GALT1,NA,NA,NA,NA,0.4122,0.4522,0.4356,0.9324,0.1102,0.1274,0.1324,0.265,NA,NA,NA,NA,1.1419,1.1132,1.2188,1.1498,NA,NA,NA,NA,NA,NA,NA,NA,,
C7orf43,1.244,1.1981,1.2145,1.2189,NA,NA,NA,NA,0.17034,0.1306274,0.0937872,0.1875076,NA,NA,NA,NA,NA,NA,NA,NA,0.3058,0.3301,0.2582,0.25959,NA,NA,NA,NA,,
C7orf61,2.0926,1.9377,1.7189,1.9164,NA,NA,NA,NA,0.3410808,0.3427508,0.3024036,0.5903784,NA,NA,NA,NA,NA,NA,NA,NA,0.3058,0.2963,0.324,0.29739,NA,NA,NA,NA,,
