,Gene,ENSEMBL_ID,Brum.HAP1.GTS,Brum.KBM7.GTS,Saba15.KBM7.cs,Saba15.KBM7.fdr,Saba15.K562.cs,Saba15.K562.fdr,Saba15.Jiyoye.cs,Saba15.Jiyoye.fdr,Saba15.Raji.cs,Saba15.Raji.fdr,Saba17.EOL1,Saba17.HEL,Saba17.MOLM13,Saba17.MonoMac1,Saba17.NB4.rep1,Saba17.NB4.rep2,Saba17.OCI.AML2,Saba17.OCI.AML3,Saba17.OCI.AML5,Saba17.P31.FUJ,Saba17.PL21,Saba17.SKM1,Saba17.TF1,Saba17.THP1,Weis16.csa.MW.pvalue,Weis16.csa.avg,Weis16.csi.MW.pvalue,Weis16.csi.avg,inactivating.mutation,deletion,down_reg_hema_cancer,CGC_tier,Tumour.Types.Somatic.,Tumour.Types.Germline.,Role.in.Cancer,Mutation.Types,GeneType,TSgene
1,VKORC1L1,ENSG00000196715,0.46,0.531992687,0.273,0.074251808,-0.124,0.767793338,-0.319,0.17216624,-0.166,0.766255902,0.13,0.113,1.212,0.033,0.508,0.582,0.265,-0.184,0.067,-0.159,0.053,-0.36,0.113,-0.031,0.000412272,-0.03401308,0.054796122,0.014269717,,,,0,NA,NA,NA,NA,NA,0
2,KCTD7,ENSG00000243335,0.55,0.542857143,-0.247,0.606234698,-0.227,0.807666819,0.431,0.266723535,-0.305,0.753092613,-0.426,-0.302,-0.497,-0.452,0.268,0.031,-0.017,-0.106,-0.336,-0.494,0.508,0.038,-0.683,-0.424,0.003739388,-0.027807553,0.704016523,0.013199002,,,,0,NA,NA,NA,NA,NA,0
3,LRRC17,ENSG00000128606,NA,NA,0.27,0.165559103,0.341,0.288671743,0.238,0.593195241,0.101,0.824227833,0.364,0.093,0.033,0.145,0.02,0.236,-0.055,0.009,0.384,0.148,-0.067,-0.041,0.124,-0.13,0.01304807,-0.030303835,0.181169176,-0.021737774,,,,0,NA,NA,NA,NA,NA,0
4,POU6F2,ENSG00000106536,0.5,0.522222222,-0.764,0.58106038,-1.28,0.864854716,-0.24,0.999981366,-0.332,0.838797887,-0.138,-0.872,-0.987,-0.322,-0.95,-0.72,-0.259,-0.908,-1.029,-0.601,0.142,-0.39,-0.917,-0.38,0.047227199,-0.003756181,0.763428232,0.009990113,,,,0,NA,NA,NA,NA,protein-coding,1
5,SP4,ENSG00000105866,0.51,0.54318618,0.033,0.847918081,0.066,0.498609485,0.037,0.894583203,-0.158,0.987088562,-0.347,0.283,-0.061,0.055,0.024,-0.572,0.173,-0.029,0.244,-0.045,-0.054,0.165,0.214,-0.009,0.032661847,-0.026252839,0.467554952,-0.042154768,,,,0,NA,NA,NA,NA,NA,0
6,ATXN7L1,ENSG00000146776,0.52,0.490773713,-0.976,0.346905891,-1.823,0.267925002,-0.597,0.810705484,-1.332,0.649340179,-0.409,-1.486,-2.061,-0.447,-0.517,-1.132,-1.135,-0.903,-1.339,-1.242,-0.971,-1.817,-0.352,-1.517,0.01429662,-0.028856028,0.075486441,0.015556798,,,,0,NA,NA,NA,NA,NA,0
7,LUC7L2,,NA,NA,-0.987,0.001935995,-1.534,0.011230159,0.067,0.683805353,-0.19,0.991635532,-0.005,-1.055,0.364,-0.312,-1.127,-1.379,0.747,-0.11,-1.269,-0.991,-0.914,-0.946,-2.606,-0.557,0.023538013,-0.015354312,0.546132414,0.018417771,,,,0,NA,NA,NA,NA,NA,0
8,IKZF1,ENSG00000185811,0.48,0.412065814,-0.205,0.882928449,-0.496,0.334477294,-0.986,0.053192678,-1.126,0.074577148,-1.638,-0.135,-1.498,-1.671,-1.54,-2.353,-1.323,-1.244,-2.038,-0.516,-1.773,-0.155,-0.551,-1.766,0.000684551,-0.041884986,0.100815595,-0.021266041,,,,1,"ALL, DLBCL",,"TSG, fusion","D,T",protein-coding,1
9,IGF2BP3,ENSG00000136231,0.52,0.499684675,0.029,0.363306499,-0.12,0.919441273,0.189,0.925462401,-0.004,0.811953466,0.145,0.175,0.1,-0.301,-0.393,-0.001,0.488,-0.346,-0.318,0.201,-0.305,0.282,-0.304,0.379,0.031975431,-0.029546396,0.918003955,0.011793798,,,,0,NA,NA,NA,NA,NA,0
10,BHLHA15,ENSG00000180535,NA,NA,0.069,0.708056012,0.013,0.633307447,0.016,0.927083033,-0.285,0.371340232,0.439,-0.234,-0.243,0.313,-0.165,-0.09,0.099,-0.141,0.084,-0.268,-0.035,-0.528,-0.497,0,0.006664032,-0.033183783,0.056659546,-0.022372093,,,,0,NA,NA,NA,NA,NA,0
