Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ABI1,abl-interactor 1,10006,10:27035522-27149864,1,Yes,12.1,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"10006,ABI-1,ABI1,E3B1,ENSG00000136754.12,Q8IZP0,SSH3BP1"
ACVR2A,activin A receptor type 2A,92,2:148602086-148688393,1,,22.3,yes,,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",,,E,Rec,TSG,"Mis, N, F",,,,"92,ACTRII,ACVR2,ACVR2A,ENSG00000121989.10,P27037"
AMER1,APC membrane recruitment protein 1,139285,X:63404997-63425624,1,Yes,11.2,yes,,Wilms tumour,,,O,Rec,TSG,"F, D, N, Mis",,,,"139285,AMER1,ENSG00000184675.5,FAM123B,FLJ39827,Q5JTC6,RP11-403E24.2,WTX"
APC,adenomatous polyposis of the colon gene,324,5:112043218-112181936,1,Yes,22.2,yes,yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","adenomatous polyposis coli; Turcot syndrome","E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"324,APC,DP2,DP2.5,DP3,ENSG00000134982.12,P25054,PPP1R46"
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582,22:39378414-39388789,1,Yes,13.1,,yes,,breast cancer,,E,Rec,"oncogene, TSG",D,,,,"9582,APOBEC3B,ENSG00000179750.11,FLJ21201,PHRBNL,Q9UH17"
ARHGAP26,Rho GTPase activating protein 26,23092,5:142149949-142606050,1,,31.3,yes,,"AML, MDS",,,L,Dom,"TSG, fusion","T, F, S",KMT2A,,,"23092,ARHGAP26,ENSG00000145819.11,GRAF,KIAA0621,OPHN1L,OPHN1L1,Q9UNA1"
ARHGEF10,Rho guanine nucleotide exchange factor 10,9639,8:1772142-1906799,2,,23.3,yes,,colon cancer,,,E,,TSG,D,,,,"9639,ARHGEF10,ENSG00000104728.11,Gef10,KIAA0294,O15013"
ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,55160,1:17866330-18024364,2,,36.13,yes,,lymphoma,,,L,,TSG,D,,,,"55160,ARHGEF10L,ENSG00000074964.12,FLJ10521,KIAA1626,Q9HCE6"
ARHGEF12,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),23365,11:120207787-120360645,1,,23.3,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"23365,ARHGEF12,ENSG00000196914.4,KIAA0382,LARG,Q9NZN5"
ARID1A,AT rich interactive domain 1A (SWI-like),8289,1:27022524-27108595,1,Yes,36.11,yes,,"clear cell ovarian carcinoma, RCC, breast",,,E,Rec,"TSG, fusion","Mis, N, F, S, D, T",MAST2,,,"8289,ARID1A,B120,BAF250,BAF250a,C10rf4,C1orf4,ENSG00000117713.13,O14497,P270,SMARCF1"
ARID1B,AT rich interactive domain 1B,57492,6:157099063-157531913,1,,25.3,yes,,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",,,E,Rec,TSG,"Mis, F, N, O",,,,"57492,6A3-5,ARID1B,BAF250b,DAN15,ELD/OSA1,ENSG00000049618.17,KIAA1235,Q8NFD5,p250R"
ARID2,AT rich interactive domain 2,196528,12:46123448-46301823,1,Yes,12,yes,,hepatocellular carcinoma,,,E,Rec,TSG,"N, S, F",,,,"196528,ARID2,BAF200,DKFZp686G052,ENSG00000189079.11,FLJ30619,KIAA1557,Q68CP9"
ARNT,aryl hydrocarbon receptor nuclear translocator,405,1:150782181-150849244,1,Yes,21.3,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,ETV6,,,"405,ARNT,ENSG00000143437.16,HIF-1beta,P27540,bHLHe2"
ASXL1,additional sex combs like 1,171023,20:30946155-31027122,1,Yes,11.21,yes,,"MDS, CMML",,,L,Rec,TSG,"F, N, Mis",,yes,Bohring-Opitz syndrome,"171023,ASXL1,ENSG00000171456.12,KIAA0978,Q8IXJ9"
ASXL2,"additional sex combs like 2, transcriptional regulator",55252,2:25956622-26101385,2,,23.3,yes,,"melanoma, CCRCC, AML",,,"E, L",,TSG,"O,N, F",,,,"55252,ASXH2,ASXL2,ENSG00000143970.12,FLJ10898,KIAA1685,Q76L83"
ATM,ataxia telangiectasia mutated,472,11:108093559-108239826,1,Yes,22.3,yes,yes,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma",ataxia-telangiectasia,"L, O",Rec,TSG,"D, Mis, N, F, S",,,,"472,ATA,ATC,ATD,ATDC,ATM,ENSG00000149311.13,Q13315,TEL1,TELO1"
ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",476,1:116916489-116947394,1,Yes,13.1,yes,,adrenal aldosterone producing adenoma,,,E,Dom,"oncogene, TSG","Mis, O",,,,"476,ATP1A1,ENSG00000163399.11,P05023"
