Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
TP53,34,1684,631,166,2515,1182,0.8909608,1477,104,2127.7496,18.19020173,5.988614801,0,0,1.442125237,1.09E-162,2.00E-158,14.00947867,0,0,2.69E-14,1.09E-13,7.15E-104,1.33E-99,0.999335209,17
PTEN,6,272,232,39,549,1212,0.8843395,224,27,452.9703,34.65671642,8.176056338,3.15E-169,1.45E-165,1.232394366,1.80E-42,1.65E-38,7.894736842,6.16E-59,2.29E-55,4.43E-239,2.67E-236,3.57E-101,3.33E-97,0.999835779,10
CDKN2A,10,79,118,13,220,471,0.7989464,62,17,467.0913,11.04672897,6.423913043,9.96E-101,3.67E-97,0.434782609,9.82E-14,1.39E-10,3.405405405,8.48E-12,9.27E-09,0,0,9.81E-96,6.11E-92,0.988741942,9
ARID1A,30,134,261,6,431,6858,0.6353505,81,57,62.8463,8.508143322,4.47260274,2.91E-173,1.79E-169,0.034246575,0.011114827,0.553361732,1.401709402,2.87E-05,0.005629812,1.29E-148,1.08E-146,6.49E-88,3.03E-84,0.999665006,1
APC,31,153,328,2,514,8532,0.5781901,95,75,60.2438,10.3533123,4.295811518,3.16E-194,2.91E-190,0.013089005,0.649057103,1,1.254901961,0.000124893,0.017583416,7.96E-41,6.44E-40,2.98E-86,1.11E-82,0.999279455,5
PBRM1,20,96,122,19,257,4749,0.6902676,67,41,54.1167,5.903381643,2.882075472,3.34E-72,8.80E-69,0.424528302,4.76E-15,7.95E-12,1.6,2.19E-06,0.000781647,1.77E-74,2.63E-73,5.37E-67,1.67E-63,0.999195273,3
RB1,12,54,117,30,213,2787,0.6375263,31,27,76.4263,9.228346457,4.126760563,1.38E-76,4.25E-73,1.021126761,6.51E-31,2.99E-27,1.122807018,0.036801284,0.503116046,1.23E-191,1.52E-189,2.62E-66,6.99E-63,0.999302125,13
VHL,9,84,85,15,193,642,0.9144861,73,14,300.6231,8.783505155,5.532467532,7.37E-59,1.51E-55,0.974025974,5.27E-16,9.69E-13,4.774193548,1.95E-16,3.29E-13,1.05E-36,7.93E-36,4.27E-62,9.97E-59,0.999155256,3
NF1,36,173,146,28,383,8520,0.6139206,109,80,44.9531,3.983651226,1.796068796,2.61E-63,6.01E-60,0.282555283,2.44E-16,4.97E-13,1.349693252,6.10E-06,0.001681204,8.54E-26,4.85E-25,3.81E-59,7.91E-56,0.993015241,17
MAP3K1,18,69,89,5,181,4050,0.7921731,51,26,44.6914,4.770053476,3.255474453,3.29E-56,6.07E-53,0.145985401,0.001939505,0.240747628,1.890909091,6.66E-06,0.001768242,2.71E-85,5.71E-84,9.34E-52,1.74E-48,0.997789344,5
